agency_name,fiscal_year,total_budget
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2024,1634994158
DEPARTMENT OF FINANCE,2024,344102062
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2024,2958997075
DEPARTMENT OF HOMELESS SERVICES,2024,3539182292
DEPARTMENT OF INFO TECH & TELECOMM,2024,923500465
DEPARTMENT OF INVESTIGATION,2024,54014816
DEPARTMENT OF JUVENILE JUSTICE,2024,0
DEPARTMENT OF MENTAL HEALTH,2024,0
DEPARTMENT OF PARKS AND RECREATION,2024,638124356
DEPARTMENT OF PROBATION,2024,125819354
DEPARTMENT OF RECORDS & INFORMATION SVS,2024,16395465
DEPARTMENT OF SANITATION,2024,1919354596
DEPARTMENT OF SMALL BUSINESS SERVICES,2024,388761207
DEPARTMENT OF SOCIAL SERVICES,2024,11727573942
DEPARTMENT OF TRANSPORTATION,2024,1450374387
DEPARTMENT OF VETERANS' SERVICES,2024,6243799
DEPARTMENT OF YOUTH & COMMUNITY DEV,2024,1199276000
DEPT OF CONSUMER & WORKER PROTECTION,2024,68326844
DISTRICT ATTORNEY BRONX COUNTY,2024,107334354
DISTRICT ATTORNEY KINGS COUNTY,2024,137101760
DISTRICT ATTORNEY NEW YORK COUNTY,2024,170372449
DISTRICT ATTORNEY QUEENS COUNTY,2024,92428159
DISTRICT ATTORNEY RICHMOND COUNTY,2024,24156583
DISTRICTING COMMISSION,2024,1057857
EQUAL EMPLOYMENT PRACTICES COMMISSION,2024,1312690
FINANCIAL INFORMATION SERVICE AGENCY,2024,119967022
FIRE DEPARTMENT,2024,2593987935
HEALTH AND HOSPITALS CORP,2024,1992857314
HOUSING PRESERVATION AND DEVELOPMENT,2024,1460492982
INDEPENDENT BUDGET OFFICE,2024,6569077
LANDMARKS PRESERVATION COMM.,2024,8028619
LAW DEPARTMENT,2024,275537270
MANHATTAN COMMUNITY BOARD #1,2024,392873
MANHATTAN COMMUNITY BOARD #10,2024,455114
MANHATTAN COMMUNITY BOARD #11,2024,386951
MANHATTAN COMMUNITY BOARD #12,2024,454907
MANHATTAN COMMUNITY BOARD #2,2024,442153
MANHATTAN COMMUNITY BOARD #3,2024,419705
MANHATTAN COMMUNITY BOARD #4,2024,410287
MANHATTAN COMMUNITY BOARD #5,2024,378654
MANHATTAN COMMUNITY BOARD #6,2024,563215
MANHATTAN COMMUNITY BOARD #7,2024,402657
MANHATTAN COMMUNITY BOARD #8,2024,450437
MANHATTAN COMMUNITY BOARD #9,2024,452800
MAYORALTY,2024,191892177
MISCELLANEOUS,2024,14909932790
NEW YORK PUBLIC LIBRARY,2024,176314588
NEW YORK RESEARCH LIBRARIES,2024,33134726
NYC TAXI AND LIMOUSINE COMM,2024,162372128
OFFICE OF ADMINISTRATIVE TAX APPEALS,2024,6191283
OFFICE OF ADMIN TRIALS & HEARINGS,2024,59107998
OFFICE OF COLLECTIVE BARGAINING,2024,2467471
OFFICE OF PAYROLL ADMINISTRATION,2024,16322416
OFFICE OF PROSECUTION SPEC NARCO,2024,26727159
OFFICE OF RACIAL EQUITY,2024,0
OFFICE OF THE ACTUARY,2024,6949600
OFFICE OF THE COMPTROLLER,2024,115612536
PENSION CONTRIBUTIONS,2024,9108751392
POLICE DEPARTMENT,2024,6386027848
PUBLIC ADMINISTRATOR-BRONX COUNTY,2024,775216
PUBLIC ADMINISTRATOR-KINGS COUNTY,2024,1079867
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2024,1254456
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2024,674563
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2024,611024
PUBLIC ADVOCATE,2024,5394259
QUEENS BOROUGH PUBLIC LIBRARY,2024,134704895
QUEENS COMMUNITY BOARD #1,2024,375324
QUEENS COMMUNITY BOARD #10,2024,312240
QUEENS COMMUNITY BOARD #11,2024,356969
QUEENS COMMUNITY BOARD #12,2024,339842
QUEENS COMMUNITY BOARD #13,2024,325124
QUEENS COMMUNITY BOARD #14,2024,298317
QUEENS COMMUNITY BOARD #2,2024,358362
QUEENS COMMUNITY BOARD #3,2024,376611
QUEENS COMMUNITY BOARD #4,2024,328358
QUEENS COMMUNITY BOARD #5,2024,318987
QUEENS COMMUNITY BOARD #6,2024,339024
QUEENS COMMUNITY BOARD #7,2024,381191
QUEENS COMMUNITY BOARD #8,2024,355211
QUEENS COMMUNITY BOARD #9,2024,272428
STATEN ISLAND COMMUNITY BOARD #1,2024,338574
STATEN ISLAND COMMUNITY BOARD #2,2024,326406
STATEN ISLAND COMMUNITY BOARD #3,2024,391895
ADMIN FOR CHILDREN'S SERVICES,2025,3460823626
BOARD OF CORRECTION,2025,3254574
BOARD OF ELECTIONS,2025,263237470
BOROUGH PRESIDENT BRONX,2025,6871558
BOROUGH PRESIDENT - BROOKLYN,2025,7454542
BOROUGH PRESIDENT - MANHATTAN,2025,6202601
BOROUGH PRESIDENT - QUEENS,2025,7150356
BOROUGH PRESIDENT STATEN ISLAND,2025,5127679
BRONX COMMUNITY BOARD #1,2025,356134
BRONX COMMUNITY BOARD #10,2025,360709
BRONX COMMUNITY BOARD #11,2025,422865
BRONX COMMUNITY BOARD #12,2025,282877
BRONX COMMUNITY BOARD #2,2025,363706
BRONX COMMUNITY BOARD #3,2025,356188
BRONX COMMUNITY BOARD #4,2025,296661
BRONX COMMUNITY BOARD #5,2025,275970
BRONX COMMUNITY BOARD #6,2025,287752
BRONX COMMUNITY BOARD #7,2025,366004
BRONX COMMUNITY BOARD #8,2025,358071
BRONX COMMUNITY BOARD #9,2025,443469
BROOKLYN COMMUNITY BOARD #1,2025,349575
BROOKLYN COMMUNITY BOARD #10,2025,406394
BROOKLYN COMMUNITY BOARD #11,2025,352759
BROOKLYN COMMUNITY BOARD #12,2025,372350
BROOKLYN COMMUNITY BOARD #13,2025,360065
BROOKLYN COMMUNITY BOARD #14,2025,395242
BROOKLYN COMMUNITY BOARD #15,2025,274180
BROOKLYN COMMUNITY BOARD #16,2025,309195
BROOKLYN COMMUNITY BOARD #17,2025,381114
BROOKLYN COMMUNITY BOARD #18,2025,280701
BROOKLYN COMMUNITY BOARD #2,2025,357027
BROOKLYN COMMUNITY BOARD #3,2025,315770
BROOKLYN COMMUNITY BOARD #4,2025,338034
BROOKLYN COMMUNITY BOARD #5,2025,283150
BROOKLYN COMMUNITY BOARD #6,2025,378769
BROOKLYN COMMUNITY BOARD #7,2025,288266
BROOKLYN COMMUNITY BOARD #8,2025,365286
BROOKLYN COMMUNITY BOARD #9,2025,402383
BROOKLYN PUBLIC LIBRARY,2025,128659246
BUSINESS INTEGRITY COMMISSION,2025,9238107
CAMPAIGN FINANCE BOARD,2025,59412598
CITY CLERK,2025,5960617
CITY COUNCIL,2025,108266469
CITY UNIVERSITY OF NEW YORK,2025,1417323406
CIVILIAN COMPLAINT REVIEW BOARD,2025,25893946
CIVIL SERVICE COMMISSION,2025,1153239
COMMISSION ON HUMAN RIGHTS,2025,12355045
COMMISSION ON RACIAL EQUITY,2025,842517
CONFLICTS OF INTEREST BOARD,2025,2811286
DEBT SERVICE,2025,6763921416
DEPARTMENT FOR THE AGING,2025,514786552
DEPARTMENT OF BUILDINGS,2025,190569665
DEPARTMENT OF CITY PLANNING,2025,52197132
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2025,1860446312
DEPARTMENT OF CORRECTION,2025,1244806426
DEPARTMENT OF CULTURAL AFFAIRS,2025,222188263
DEPARTMENT OF DESIGN & CONSTRUCTION,2025,181368754
DEPARTMENT OF EDUCATION,2025,33112195986
DEPARTMENT OF EMERGENCY MANAGEMENT,2025,221121137
DEPARTMENT OF EMPLOYMENT,2025,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2025,1677630690
DEPARTMENT OF FINANCE,2025,354943172
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2025,2687087361
DEPARTMENT OF HOMELESS SERVICES,2025,4017882980
DEPARTMENT OF INFO TECH & TELECOMM,2025,1003777524
DEPARTMENT OF INVESTIGATION,2025,59117236
DEPARTMENT OF JUVENILE JUSTICE,2025,0
DEPARTMENT OF MENTAL HEALTH,2025,0
DEPARTMENT OF PARKS AND RECREATION,2025,640454419
DEPARTMENT OF PROBATION,2025,118258366
DEPARTMENT OF RECORDS & INFORMATION SVS,2025,15243996
DEPARTMENT OF SANITATION,2025,1970755170
DEPARTMENT OF SMALL BUSINESS SERVICES,2025,314552163
DEPARTMENT OF SOCIAL SERVICES,2025,12597269466
DEPARTMENT OF TRANSPORTATION,2025,1445688229
DEPARTMENT OF VETERANS' SERVICES,2025,6152160
DEPARTMENT OF YOUTH & COMMUNITY DEV,2025,1330883946
DEPT OF CONSUMER & WORKER PROTECTION,2025,67604795
DISTRICT ATTORNEY BRONX COUNTY,2025,124909213
DISTRICT ATTORNEY KINGS COUNTY,2025,168292101
DISTRICT ATTORNEY NEW YORK COUNTY,2025,204158259
DISTRICT ATTORNEY QUEENS COUNTY,2025,114251733
DISTRICT ATTORNEY RICHMOND COUNTY,2025,32553555
DISTRICTING COMMISSION,2025,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2025,1258824
FINANCIAL INFORMATION SERVICE AGENCY,2025,124089238
FIRE DEPARTMENT,2025,2761341428
HEALTH AND HOSPITALS CORP,2025,3189192587
HOUSING PRESERVATION AND DEVELOPMENT,2025,1967340347
INDEPENDENT BUDGET OFFICE,2025,7777595
LANDMARKS PRESERVATION COMM.,2025,8905669
LAW DEPARTMENT,2025,328036829
MANHATTAN COMMUNITY BOARD #1,2025,415784
MANHATTAN COMMUNITY BOARD #10,2025,452773
MANHATTAN COMMUNITY BOARD #11,2025,395463
MANHATTAN COMMUNITY BOARD #12,2025,551085
MANHATTAN COMMUNITY BOARD #2,2025,449687
MANHATTAN COMMUNITY BOARD #3,2025,495686
MANHATTAN COMMUNITY BOARD #4,2025,523045
MANHATTAN COMMUNITY BOARD #5,2025,393819
MANHATTAN COMMUNITY BOARD #6,2025,603327
MANHATTAN COMMUNITY BOARD #7,2025,462978
MANHATTAN COMMUNITY BOARD #8,2025,459428
MANHATTAN COMMUNITY BOARD #9,2025,425380
MAYORALTY,2025,191585468
MISCELLANEOUS,2025,13758837398
NEW YORK PUBLIC LIBRARY,2025,167242666
NEW YORK RESEARCH LIBRARIES,2025,32465707
NYC TAXI AND LIMOUSINE COMM,2025,59824556
OFFICE OF ADMINISTRATIVE TAX APPEALS,2025,5880953
OFFICE OF ADMIN TRIALS & HEARINGS,2025,67640224
OFFICE OF COLLECTIVE BARGAINING,2025,2703124
OFFICE OF CRIMINAL JUSTICE,2025,17581561
OFFICE OF PAYROLL ADMINISTRATION,2025,17314213
OFFICE OF PROSECUTION SPEC NARCO,2025,31524596
OFFICE OF RACIAL EQUITY,2025,2803599
OFFICE OF THE ACTUARY,2025,8041209
OFFICE OF THE COMPTROLLER,2025,120366389
PENSION CONTRIBUTIONS,2025,9335171990
POLICE DEPARTMENT,2025,6648355925
PUBLIC ADMINISTRATOR-BRONX COUNTY,2025,736353
PUBLIC ADMINISTRATOR-KINGS COUNTY,2025,946381
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2025,1196551
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2025,653276
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2025,639326
PUBLIC ADVOCATE,2025,5305381
QUEENS BOROUGH PUBLIC LIBRARY,2025,131847000
QUEENS COMMUNITY BOARD #1,2025,388045
QUEENS COMMUNITY BOARD #10,2025,327044
QUEENS COMMUNITY BOARD #11,2025,365397
QUEENS COMMUNITY BOARD #12,2025,356211
QUEENS COMMUNITY BOARD #13,2025,341243
QUEENS COMMUNITY BOARD #14,2025,301587
QUEENS COMMUNITY BOARD #2,2025,405218
QUEENS COMMUNITY BOARD #3,2025,390044
QUEENS COMMUNITY BOARD #4,2025,340481
QUEENS COMMUNITY BOARD #5,2025,329056
QUEENS COMMUNITY BOARD #6,2025,350334
QUEENS COMMUNITY BOARD #7,2025,384110
QUEENS COMMUNITY BOARD #8,2025,371314
QUEENS COMMUNITY BOARD #9,2025,282335
STATEN ISLAND COMMUNITY BOARD #1,2025,351964
STATEN ISLAND COMMUNITY BOARD #2,2025,342420
STATEN ISLAND COMMUNITY BOARD #3,2025,412672
ADMIN FOR CHILDREN'S SERVICES,2026,3997008437
BOARD OF CORRECTION,2026,3402446
BOARD OF ELECTIONS,2026,285559426
BOROUGH PRESIDENT BRONX,2026,7412745
BOROUGH PRESIDENT - BROOKLYN,2026,8268536
BOROUGH PRESIDENT - MANHATTAN,2026,6325991
BOROUGH PRESIDENT - QUEENS,2026,7142631
BOROUGH PRESIDENT STATEN ISLAND,2026,5518619
BRONX COMMUNITY BOARD #1,2026,360519
BRONX COMMUNITY BOARD #10,2026,374799
BRONX COMMUNITY BOARD #11,2026,363554
BRONX COMMUNITY BOARD #12,2026,293612
BRONX COMMUNITY BOARD #2,2026,372764
BRONX COMMUNITY BOARD #3,2026,335438
BRONX COMMUNITY BOARD #4,2026,302450
BRONX COMMUNITY BOARD #5,2026,288640
BRONX COMMUNITY BOARD #6,2026,291497
BRONX COMMUNITY BOARD #7,2026,456957
BRONX COMMUNITY BOARD #8,2026,360714
BRONX COMMUNITY BOARD #9,2026,375769
BROOKLYN COMMUNITY BOARD #1,2026,389496
BROOKLYN COMMUNITY BOARD #10,2026,383148
BROOKLYN COMMUNITY BOARD #11,2026,358681
BROOKLYN COMMUNITY BOARD #12,2026,385804
BROOKLYN COMMUNITY BOARD #13,2026,369120
BROOKLYN COMMUNITY BOARD #14,2026,563110
BROOKLYN COMMUNITY BOARD #15,2026,276449
BROOKLYN COMMUNITY BOARD #16,2026,309133
BROOKLYN COMMUNITY BOARD #17,2026,394285
BROOKLYN COMMUNITY BOARD #18,2026,285511
BROOKLYN COMMUNITY BOARD #2,2026,361317
BROOKLYN COMMUNITY BOARD #3,2026,319012
BROOKLYN COMMUNITY BOARD #4,2026,340816
BROOKLYN COMMUNITY BOARD #5,2026,287006
BROOKLYN COMMUNITY BOARD #6,2026,393549
BROOKLYN COMMUNITY BOARD #7,2026,293861
BROOKLYN COMMUNITY BOARD #8,2026,372173
BROOKLYN COMMUNITY BOARD #9,2026,411512
BROOKLYN PUBLIC LIBRARY,2026,141324088
BUSINESS INTEGRITY COMMISSION,2026,8823269
CAMPAIGN FINANCE BOARD,2026,148913836
CITY CLERK,2026,6829557
CITY COUNCIL,2026,108417100
CITY UNIVERSITY OF NEW YORK,2026,1474624371
CIVILIAN COMPLAINT REVIEW BOARD,2026,27359719
CIVIL SERVICE COMMISSION,2026,1186373
COMMISSION ON HUMAN RIGHTS,2026,12703339
COMMISSION ON RACIAL EQUITY,2026,2338111
CONFLICTS OF INTEREST BOARD,2026,2858707
DEBT SERVICE,2026,7014288610
DEPARTMENT FOR THE AGING,2026,569819598
DEPARTMENT OF BUILDINGS,2026,186520762
DEPARTMENT OF CITY PLANNING,2026,53630141
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2026,2031973490
DEPARTMENT OF CORRECTION,2026,1342608693
DEPARTMENT OF CULTURAL AFFAIRS,2026,257443460
DEPARTMENT OF DESIGN & CONSTRUCTION,2026,177344430
DEPARTMENT OF EDUCATION,2026,34117512624
DEPARTMENT OF EMERGENCY MANAGEMENT,2026,129873545
DEPARTMENT OF EMPLOYMENT,2026,0
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2026,1741778487
DEPARTMENT OF FINANCE,2026,360380200
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2026,2773009893
DEPARTMENT OF HOMELESS SERVICES,2026,4354773550
DEPARTMENT OF INFO TECH & TELECOMM,2026,955879422
DEPARTMENT OF INVESTIGATION,2026,63733303
DEPARTMENT OF JUVENILE JUSTICE,2026,0
DEPARTMENT OF MENTAL HEALTH,2026,0
DEPARTMENT OF PARKS AND RECREATION,2026,660980803
DEPARTMENT OF PROBATION,2026,123380200
DEPARTMENT OF RECORDS & INFORMATION SVS,2026,15521788
DEPARTMENT OF SANITATION,2026,2060187888
DEPARTMENT OF SMALL BUSINESS SERVICES,2026,326568128
DEPARTMENT OF SOCIAL SERVICES,2026,13403189383
DEPARTMENT OF TRANSPORTATION,2026,1537548180
DEPARTMENT OF VETERANS' SERVICES,2026,6595870
DEPARTMENT OF YOUTH & COMMUNITY DEV,2026,1390304674
DEPT OF CONSUMER & WORKER PROTECTION,2026,66655813
DISTRICT ATTORNEY BRONX COUNTY,2026,145167077
DISTRICT ATTORNEY KINGS COUNTY,2026,175788271
DISTRICT ATTORNEY NEW YORK COUNTY,2026,219035730
DISTRICT ATTORNEY QUEENS COUNTY,2026,128480992
DISTRICT ATTORNEY RICHMOND COUNTY,2026,32990168
DISTRICTING COMMISSION,2026,0
EQUAL EMPLOYMENT PRACTICES COMMISSION,2026,1259771
FINANCIAL INFORMATION SERVICE AGENCY,2026,121777340
FIRE DEPARTMENT,2026,2884144455
HEALTH AND HOSPITALS CORP,2026,3413084839
HOUSING PRESERVATION AND DEVELOPMENT,2026,2141546366
INDEPENDENT BUDGET OFFICE,2026,7895776
LANDMARKS PRESERVATION COMM.,2026,8657236
LAW DEPARTMENT,2026,341990359
MANHATTAN COMMUNITY BOARD #1,2026,440423
MANHATTAN COMMUNITY BOARD #10,2026,453284
MANHATTAN COMMUNITY BOARD #11,2026,397617
MANHATTAN COMMUNITY BOARD #12,2026,431541
MANHATTAN COMMUNITY BOARD #2,2026,465635
MANHATTAN COMMUNITY BOARD #3,2026,457119
MANHATTAN COMMUNITY BOARD #4,2026,541408
MANHATTAN COMMUNITY BOARD #5,2026,482622
MANHATTAN COMMUNITY BOARD #6,2026,614854
MANHATTAN COMMUNITY BOARD #7,2026,434074
MANHATTAN COMMUNITY BOARD #8,2026,465675
MANHATTAN COMMUNITY BOARD #9,2026,445847
MAYORALTY,2026,175851300
MISCELLANEOUS,2026,13331616743
NEW YORK PUBLIC LIBRARY,2026,185090338
NEW YORK RESEARCH LIBRARIES,2026,35900555
NYC TAXI AND LIMOUSINE COMM,2026,55681391
OFFICE OF ADMINISTRATIVE TAX APPEALS,2026,5746223
OFFICE OF ADMIN TRIALS & HEARINGS,2026,73996506
OFFICE OF COLLECTIVE BARGAINING,2026,2753241
OFFICE OF CRIMINAL JUSTICE,2026,981920352
OFFICE OF PAYROLL ADMINISTRATION,2026,18294705
OFFICE OF PROSECUTION SPEC NARCO,2026,31940734
OFFICE OF RACIAL EQUITY,2026,3393845
OFFICE OF THE ACTUARY,2026,7337897
OFFICE OF THE COMPTROLLER,2026,125671811
PENSION CONTRIBUTIONS,2026,10029561215
POLICE DEPARTMENT,2026,7003333839
PUBLIC ADMINISTRATOR-BRONX COUNTY,2026,755305
PUBLIC ADMINISTRATOR-KINGS COUNTY,2026,1110101
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2026,1278158
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2026,672000
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2026,670936
PUBLIC ADVOCATE,2026,5847461
QUEENS BOROUGH PUBLIC LIBRARY,2026,144384904
QUEENS COMMUNITY BOARD #1,2026,406383
QUEENS COMMUNITY BOARD #10,2026,330149
QUEENS COMMUNITY BOARD #11,2026,371998
QUEENS COMMUNITY BOARD #12,2026,355898
QUEENS COMMUNITY BOARD #13,2026,345584
QUEENS COMMUNITY BOARD #14,2026,302511
QUEENS COMMUNITY BOARD #2,2026,409969
QUEENS COMMUNITY BOARD #3,2026,390490
QUEENS COMMUNITY BOARD #4,2026,352705
QUEENS COMMUNITY BOARD #5,2026,342829
QUEENS COMMUNITY BOARD #6,2026,370899
QUEENS COMMUNITY BOARD #7,2026,388179
QUEENS COMMUNITY BOARD #8,2026,380653
QUEENS COMMUNITY BOARD #9,2026,286608
STATEN ISLAND COMMUNITY BOARD #1,2026,358662
STATEN ISLAND COMMUNITY BOARD #2,2026,320362
STATEN ISLAND COMMUNITY BOARD #3,2026,421386
ADMIN FOR CHILDREN'S SERVICES,2027,4430974420
BOARD OF CORRECTION,2027,3640519
BOARD OF ELECTIONS,2027,273814343
BOROUGH PRESIDENT BRONX,2027,7285672
BOROUGH PRESIDENT - BROOKLYN,2027,8121583
BOROUGH PRESIDENT - MANHATTAN,2027,6322852
BOROUGH PRESIDENT - QUEENS,2027,8158691
BOROUGH PRESIDENT STATEN ISLAND,2027,5544393
BRONX COMMUNITY BOARD #1,2027,366943
BRONX COMMUNITY BOARD #10,2027,383917
BRONX COMMUNITY BOARD #11,2027,374565
BRONX COMMUNITY BOARD #12,2027,296002
BRONX COMMUNITY BOARD #2,2027,409815
BRONX COMMUNITY BOARD #3,2027,340537
BRONX COMMUNITY BOARD #4,2027,313668
BRONX COMMUNITY BOARD #5,2027,283540
BRONX COMMUNITY BOARD #6,2027,297220
BRONX COMMUNITY BOARD #7,2027,399652
BRONX COMMUNITY BOARD #8,2027,365710
BRONX COMMUNITY BOARD #9,2027,453870
BROOKLYN COMMUNITY BOARD #1,2027,392989
BROOKLYN COMMUNITY BOARD #10,2027,393082
BROOKLYN COMMUNITY BOARD #11,2027,383950
BROOKLYN COMMUNITY BOARD #12,2027,354934
BROOKLYN COMMUNITY BOARD #13,2027,414787
BROOKLYN COMMUNITY BOARD #14,2027,426670
BROOKLYN COMMUNITY BOARD #15,2027,280971
BROOKLYN COMMUNITY BOARD #16,2027,313065
BROOKLYN COMMUNITY BOARD #17,2027,404958
BROOKLYN COMMUNITY BOARD #18,2027,292201
BROOKLYN COMMUNITY BOARD #2,2027,365767
BROOKLYN COMMUNITY BOARD #3,2027,321564
BROOKLYN COMMUNITY BOARD #4,2027,345739
BROOKLYN COMMUNITY BOARD #5,2027,292874
BROOKLYN COMMUNITY BOARD #6,2027,399467
BROOKLYN COMMUNITY BOARD #7,2027,300927
BROOKLYN COMMUNITY BOARD #8,2027,381743
BROOKLYN COMMUNITY BOARD #9,2027,422354
BROOKLYN PUBLIC LIBRARY,2027,149838814
BUSINESS INTEGRITY COMMISSION,2027,9189839
CAMPAIGN FINANCE BOARD,2027,102381237
CITY CLERK,2027,8804849
CITY COUNCIL,2027,115049827
CITY UNIVERSITY OF NEW YORK,2027,1643620856
CIVILIAN COMPLAINT REVIEW BOARD,2027,29414058
CIVIL SERVICE COMMISSION,2027,1192853
COMMISSION ON HUMAN RIGHTS,2027,13294882
COMMISSION ON RACIAL EQUITY,2027,4585741
CONFLICTS OF INTEREST BOARD,2027,2860750
DEBT SERVICE,2027,6482533902
DEPARTMENT FOR THE AGING,2027,609787056
DEPARTMENT OF BUILDINGS,2027,202325920
DEPARTMENT OF CITY PLANNING,2027,52628307
DEPARTMENT OF CITYWIDE ADMIN SERVICE,2027,1981429650
DEPARTMENT OF CORRECTION,2027,1379896867
DEPARTMENT OF CULTURAL AFFAIRS,2027,300056902
DEPARTMENT OF DESIGN & CONSTRUCTION,2027,175818160
DEPARTMENT OF EDUCATION,2027,37709638373
DEPARTMENT OF EMERGENCY MANAGEMENT,2027,85377347
DEPARTMENT OF ENVIRONMENTAL PROTECT.,2027,1911926627
DEPARTMENT OF FINANCE,2027,375446133
DEPARTMENT OF HEALTH AND MENTAL HYGIENE,2027,2840239870
DEPARTMENT OF HOMELESS SERVICES,2027,4480299463
DEPARTMENT OF INFO TECH & TELECOMM,2027,982639515
DEPARTMENT OF INVESTIGATION,2027,65598057
DEPARTMENT OF PARKS AND RECREATION,2027,724212346
DEPARTMENT OF PROBATION,2027,119637677
DEPARTMENT OF RECORDS & INFORMATION SVS,2027,16527258
DEPARTMENT OF SANITATION,2027,2361140845
DEPARTMENT OF SMALL BUSINESS SERVICES,2027,331264905
DEPARTMENT OF SOCIAL SERVICES,2027,14685909836
DEPARTMENT OF TRANSPORTATION,2027,1583843258
DEPARTMENT OF VETERANS' SERVICES,2027,7255500
DEPARTMENT OF YOUTH & COMMUNITY DEV,2027,1525821077
DEPT OF CONSUMER & WORKER PROTECTION,2027,83900616
DISTRICT ATTORNEY BRONX COUNTY,2027,162564336
DISTRICT ATTORNEY KINGS COUNTY,2027,203367296
DISTRICT ATTORNEY NEW YORK COUNTY,2027,229878232
DISTRICT ATTORNEY QUEENS COUNTY,2027,127902302
DISTRICT ATTORNEY RICHMOND COUNTY,2027,34259981
EQUAL EMPLOYMENT PRACTICES COMMISSION,2027,1393927
FINANCIAL INFORMATION SERVICE AGENCY,2027,126300503
FIRE DEPARTMENT,2027,2842842397
HEALTH AND HOSPITALS CORP,2027,1964127274
HOUSING PRESERVATION AND DEVELOPMENT,2027,2041766847
INDEPENDENT BUDGET OFFICE,2027,8291018
LANDMARKS PRESERVATION COMM.,2027,8977824
LAW DEPARTMENT,2027,329913127
MANHATTAN COMMUNITY BOARD #1,2027,471499
MANHATTAN COMMUNITY BOARD #10,2027,514822
MANHATTAN COMMUNITY BOARD #11,2027,410864
MANHATTAN COMMUNITY BOARD #12,2027,450041
MANHATTAN COMMUNITY BOARD #2,2027,479402
MANHATTAN COMMUNITY BOARD #3,2027,463305
MANHATTAN COMMUNITY BOARD #4,2027,449041
MANHATTAN COMMUNITY BOARD #5,2027,418105
MANHATTAN COMMUNITY BOARD #6,2027,627663
MANHATTAN COMMUNITY BOARD #7,2027,476706
MANHATTAN COMMUNITY BOARD #8,2027,473952
MANHATTAN COMMUNITY BOARD #9,2027,452427
MAYORALTY,2027,187146457
MISCELLANEOUS,2027,14520115072
NEW YORK PUBLIC LIBRARY,2027,196592525
NEW YORK RESEARCH LIBRARIES,2027,38898862
NYC TAXI AND LIMOUSINE COMM,2027,61806067
OFFICE OF ADMINISTRATIVE TAX APPEALS,2027,6071445
OFFICE OF ADMIN TRIALS & HEARINGS,2027,75335198
OFFICE OF COLLECTIVE BARGAINING,2027,2787195
OFFICE OF COMMUNITY SAFETY,2027,0
OFFICE OF CRIMINAL JUSTICE,2027,1049411184
OFFICE OF PAYROLL ADMINISTRATION,2027,18627945
OFFICE OF PROSECUTION SPEC NARCO,2027,31694549
OFFICE OF RACIAL EQUITY,2027,4994879
OFFICE OF THE ACTUARY,2027,7431867
OFFICE OF THE COMPTROLLER,2027,130929814
PENSION CONTRIBUTIONS,2027,9819071699
POLICE DEPARTMENT,2027,6909145882
PUBLIC ADMINISTRATOR-BRONX COUNTY,2027,1060883
PUBLIC ADMINISTRATOR-KINGS COUNTY,2027,1167703
PUBLIC ADMINISTRATOR-NEW YORK COUNTY,2027,1202423
PUBLIC ADMINISTRATOR- QUEENS COUNTY,2027,694608
PUBLIC ADMINISTRATOR-RICHMOND COUNTY,2027,718451
PUBLIC ADVOCATE,2027,5817025
QUEENS BOROUGH PUBLIC LIBRARY,2027,154486917
QUEENS COMMUNITY BOARD #1,2027,418538
QUEENS COMMUNITY BOARD #10,2027,340735
QUEENS COMMUNITY BOARD #11,2027,378531
QUEENS COMMUNITY BOARD #12,2027,371829
QUEENS COMMUNITY BOARD #13,2027,359482
QUEENS COMMUNITY BOARD #14,2027,305109
QUEENS COMMUNITY BOARD #2,2027,416566
QUEENS COMMUNITY BOARD #3,2027,403253
QUEENS COMMUNITY BOARD #4,2027,360109
QUEENS COMMUNITY BOARD #5,2027,351556
QUEENS COMMUNITY BOARD #6,2027,384547
QUEENS COMMUNITY BOARD #7,2027,394912
QUEENS COMMUNITY BOARD #8,2027,405966
QUEENS COMMUNITY BOARD #9,2027,292781
STATEN ISLAND COMMUNITY BOARD #1,2027,369744
STATEN ISLAND COMMUNITY BOARD #2,2027,325687
STATEN ISLAND COMMUNITY BOARD #3,2027,433123
